,paper_a,paper_b,correlation
0,EMAS2019_paper_5,EMAS2019_paper_5,100.0
1,EMAS2019_paper_5,EMAS2019_paper_8,65.0
2,EMAS2019_paper_5,EMAS2019_paper_18,53.0
3,EMAS2019_paper_5,EMAS2019_paper_21,65.0
4,EMAS2019_paper_5,EMAS2019_paper_22,56.99999999999999
5,EMAS2019_paper_5,EMAS2019_paper_23,53.0
6,EMAS2019_paper_5,EMAS2019_paper_24,66.0
7,EMAS2019_paper_5,EMAS2019_paper_25,60.0
8,EMAS2019_paper_5,EMAS2019_paper_26,68.0
9,EMAS2019_paper_5,EMAS2019_paper_27,57.99999999999999
10,EMAS2019_paper_5,EMAS2019_paper_28,54.0
11,EMAS2019_paper_5,EMAS2019_paper_29,44.0
12,EMAS2019_paper_5,EMAS2019_paper_30,57.99999999999999
13,EMAS2019_paper_5,EMAS2019_paper_31,55.00000000000001
14,EMAS2019_paper_5,EMAS2019_paper_32,57.99999999999999
15,EMAS2019_paper_5,EMAS2019_paper_33,64.0
16,EMAS2019_paper_5,EMAS2019_paper_34,48.0
17,EMAS2019_paper_5,EMAS2019_paper_35,57.99999999999999
18,EMAS2019_paper_8,EMAS2019_paper_5,65.0
19,EMAS2019_paper_8,EMAS2019_paper_8,100.0
20,EMAS2019_paper_8,EMAS2019_paper_18,68.0
21,EMAS2019_paper_8,EMAS2019_paper_21,80.0
22,EMAS2019_paper_8,EMAS2019_paper_22,69.0
23,EMAS2019_paper_8,EMAS2019_paper_23,63.0
24,EMAS2019_paper_8,EMAS2019_paper_24,71.0
25,EMAS2019_paper_8,EMAS2019_paper_25,66.0
26,EMAS2019_paper_8,EMAS2019_paper_26,69.0
27,EMAS2019_paper_8,EMAS2019_paper_27,69.0
28,EMAS2019_paper_8,EMAS2019_paper_28,69.0
29,EMAS2019_paper_8,EMAS2019_paper_29,60.0
30,EMAS2019_paper_8,EMAS2019_paper_30,56.99999999999999
31,EMAS2019_paper_8,EMAS2019_paper_31,54.0
32,EMAS2019_paper_8,EMAS2019_paper_32,60.0
33,EMAS2019_paper_8,EMAS2019_paper_33,68.0
34,EMAS2019_paper_8,EMAS2019_paper_34,63.0
35,EMAS2019_paper_8,EMAS2019_paper_35,59.0
36,EMAS2019_paper_18,EMAS2019_paper_5,53.0
37,EMAS2019_paper_18,EMAS2019_paper_8,68.0
38,EMAS2019_paper_18,EMAS2019_paper_18,100.0
39,EMAS2019_paper_18,EMAS2019_paper_21,65.0
40,EMAS2019_paper_18,EMAS2019_paper_22,56.00000000000001
41,EMAS2019_paper_18,EMAS2019_paper_23,55.00000000000001
42,EMAS2019_paper_18,EMAS2019_paper_24,69.0
43,EMAS2019_paper_18,EMAS2019_paper_25,61.0
44,EMAS2019_paper_18,EMAS2019_paper_26,65.0
45,EMAS2019_paper_18,EMAS2019_paper_27,77.0
46,EMAS2019_paper_18,EMAS2019_paper_28,76.0
47,EMAS2019_paper_18,EMAS2019_paper_29,78.0
